Periodo,indice_ipc_nivel,tipo_cambio_nivel,inflacion_mensual,variacion_dolar
2017-01-01,101.313,16.151454545454545,1.3,0.5034335816418434
2017-02-01,103.8085,15.868722222222223,2.5,-1.7505068812015523
2017-03-01,106.2627,15.803818181818183,2.4,-0.409006090692976
2017-04-01,109.0613,15.649222222222221,2.6,-0.9782190469251328
2017-05-01,110.4607,15.991523809523809,1.3,2.187339296744817
2017-06-01,111.9943,16.38533333333333,1.4,2.4626141229579845
2017-07-01,113.9199,17.459285714285713,1.7,6.5543517431384535
2017-08-01,115.6031,17.697727272727274,1.5,1.3657005351969342
2017-09-01,117.9656,17.522238095238095,2.0,-0.9915916026099758
2017-10-01,119.4985,17.748047619047618,1.3,1.2887025195194024
2017-11-01,120.8941,17.7667,1.2,0.10509539614016461
2017-12-01,125.0392,18.027157894736842,3.4,1.4659891523853164
2018-01-01,127.0147,19.343681818181818,1.6,7.303003230638727
2018-02-01,130.2913,20.1395,2.6,4.114098801346944
2018-03-01,133.5028,20.54345,2.5,2.005759825219089
2018-04-01,136.938,20.530421052631578,2.6,-0.06342141835193882
2018-05-01,139.58,24.222809523809524,1.9,17.98496222611401
2018-06-01,145.0582,27.246100000000002,3.9,12.481171819556147
2018-07-01,149.1178,28.26595238095238,2.8,3.743113256401398
2018-08-01,155.1747,30.879136363636363,4.1,9.244988272339016
2018-09-01,165.4903,39.391000000000005,6.6,27.565096174086378
2018-10-01,173.8549,38.07463636363636,5.1,-3.3417878103212617
2018-11-01,178.877,37.485263157894735,2.9,-1.5479417849529664
2018-12-01,183.9381,38.83844444444444,2.8,3.609902058976777
2019-01-01,189.1236,38.42940909090909,2.8,-1.0531713084452887
2019-02-01,196.3597,39.42785,3.8,2.5981167358805513
2019-03-01,205.7679,42.54242105263158,4.8,7.899418945318049
2019-04-01,212.4469,44.35336842105263,3.2,4.2568037352190835
2019-05-01,218.8793,46.08981818181818,3.0,3.9150346920242773
2019-06-01,224.6105,44.954055555555556,2.6,-2.4642375931755556
2019-07-01,229.4286,43.749904761904766,2.1,-2.6786254961194023
2019-08-01,238.3069,54.648809523809526,3.9,24.911836542773425
2019-09-01,252.1482,58.78942857142857,5.8,7.576778128744155
2019-10-01,260.2101,61.40181818181818,3.2,4.443638378310788
2019-11-01,270.8019,63.01236842105263,4.1,2.6229683206862253
2019-12-01,281.1775,63.01031578947368,3.8,-0.0032575058363626397
2020-01-01,286.4913,62.982454545454544,1.9,-0.04421695665234315
2020-02-01,291.737,63.58083333333333,1.8,0.950072194228202
2020-03-01,302.2274,65.20026315789474,3.6,2.547040892136909
2020-04-01,306.4483,67.87295,1.4,4.099196402985128
2020-05-01,311.0922,70.04721052631578,1.5,3.203427177271334
2020-06-01,317.4661,72.52000000000001,2.0,3.530175513206535
2020-07-01,322.6791,75.32380952380952,1.6,3.866256927481393
2020-08-01,331.6957,77.48769999999999,2.8,2.872784169932996
2020-09-01,340.902,79.43013636363636,2.8,2.50676734970372
